ELEVACION,LATITUD,LONGITUD
Cerro Cacalote,13.91667,-88.2
Cerro Cacahuera,13.61667,-88.25
Cerro Cacahuatique,13.76667,-88.21667
Cerro Caballito,14.01667,-89.38333
Cerro Caballeros,13.63333,-89.68333
Cerro Buenavista,13.96667,-88.18333
Cerro Buena Vista,13.72333,-89.00278
Cerro Brujo,13.86667,-88.71667
Cerro Borronoso,13.73333,-88.2
Cerro Bonito,13.56667,-88.18333
Cerro Bonete,14.1,-89.18333
Cerro Bonete,13.99667,-89.35667
Cerro Bolillo,13.86667,-87.76667
Cerro Bobadilla,13.38333,-87.93333
Cerro Belen,13.78333,-88.31667
Cerro Bejuco Negro,13.66667,-87.78333
Cerro Barranco Negro,14.13333,-89.28333
Cerro Barba Roja,13.66667,-88.11667
Cerro Azul,13.26667,-88.26667
Cerro Azacualpa,13.9,-88.96667
Cerro Avila,13.83333,-88.7
Cerro Astillero,14.05,-89.36667
Cerro Artilleria,14.01667,-89.9
Cerro Apapuerta,13.78333,-88.3
Cerro de Apaneca,13.84139,-89.79861
Cerro Amatepeque,13.75222,-89.31667
Cerro Alvarez,14.05,-89.26667
Cerro Alto Iguanas,13.6,-89.7
Cerro Alto,13.81361,-89.54444
Loma Alta,13.76667,-87.86667
Cerro Alegria,13.5,-88.48333
Cerro Agua Helada,13.71667,-88.73333
Cerro Agua Escondida,14.16667,-89.48333
Cerro Agua Caliente,13.28889,-88.20889
Cerro Afate,13.85,-89.56667
Loma El Zacatal,13.75944,-89.33222
Loma El Ahorcado,13.76667,-89.33333
Loma de Louisiana,13.96417,-89.47917
Loma Calavera,13.96583,-89.45861
Loma El Coyol,13.99167,-89.43194
Montana El Irayol,13.96667,-89.28222
Loma Chata,13.93722,-89.30333
Cerro El Pulpito,13.94917,-89.31556
Cerro Las Terrazas,13.89111,-89.45333
Cerro Loma Pacha,-1.9404,-89.45333
Cerro El Pecuya,13.90694,-89.42083
Loma de Los Morales,13.92472,-89.43083
Cerro El Chichimeco,13.87083,-89.43806
Cerro El Picachon,13.87472,-89.43306
Cerro Las Cruces,13.8675,-89.43611
Cerro La Pita,13.88389,-89.43611
Loma Potrerillos,13.88583,-89.41417
Cerro El Zope,13.87444,-89.415
Loma Piedra Mesa,13.86194,-89.44
Loma Novales,13.85889,-89.43
Cerro Corral Falso,13.93278,-89.35611
Cerro Potrero de Machos,13.92528,-89.35806
Loma Potrerillos,13.94306,-89.41083
Loma El Cusuco,13.9325,-89.40694
Loma de Enmedio,13.91861,-89.37028
Loma Los Rastrillos,13.91528,-89.36972
Montana El Chaparral,13.18917,-88.13917
Cerro El Chino,13.20611,-88.24194
Cerro El Monito,13.21611,-88.22833
Cerro El Faro,13.2575,-88.24444
Cerro Choguero,13.25806,-88.23694
Loma Gualorita,13.25139,-88.22722
Loma El Encantado,13.28972,-88.24722
Loma de Polio,13.27833,-88.22639
Cerro El Alambre,13.22667,-88.18639
Loma El Derrumbo,13.22139,-88.19361
Cerro El Leon,13.22167,-88.20278
Cerro El Icaco,13.21194,-88.19722
Loma El Cerron,13.21139,-88.20806
Loma El Ojo de Agua,13.20778,-88.19194
Loma La Talnetera,13.21361,-88.2225
Loma del Tuerto,13.21306,-88.1825
Loma El Chocon,13.20389,-88.18278
Loma La Pavona,13.21361,-88.17028
Loma Monte Rico,13.19694,-88.12778
Loma Enmedio,13.21056,-88.15583
Loma El Jobo,13.21889,-88.14889
